10119511213137183615U  131121121  332256621 3111 22531 .94                              
10120211213136781334S  113151111  11124442199111 223211.46                              
10120411213137403922R  1293522922 132171221 1131 11611 .54                              
10121011213139541234S  3 31211122 132289521 3111 11621 .66                              
10121111213138034531R  113221121  212250521 7433222421 .97                              
10121911213134234731R  131292111  432170424 5212 22624 .61                              
10122111213137403922R  3 1352211  132276221 1131 22611 .33                              
10123211213134193921R  3 2351211  391246921999199224911.42                              
10123911213132702131R  121151121  312131321 8412 22211 .65                              
10126211213137812514S  129292191  232179821 9412 22631 .61                              
10126711213136313614S  131121191  23227962199411 22631 .46                              
10128411214136012831R  3 21212122 132189621 5213111631 .41                              
10129011215134172921S  3 2121211  232268321 2111 22611 .62                              
10129211213134172921R  1213522221 132159321 2112 12511 .69                              
1012941121313479 532S  111151121  132280321 2113922611 .33                              
1012961121313205 133U  131331221  331240122 2112 223122.11                              
10129911213139184034U  131231121  211249821 9412 22431 .59                              
10130111213133191921R  119251191  232272321 5212 22611 .62                              
10130611213139205522R  1332511222 132289621 3123111631 .32                              
10130711213136181721R  3 21591122 132271321 3111 11611 .59                              
10131311213132702131S  131151911  211144321 63139223111.27                              
10131711213135124833U  121232121  232160621 7413222531 .52                              
10131911213137632722S  121252121  132267321 4213222611 .33                              
10132811213139314731R  3 2151211  29219939999913922919 .65                              
10133011213135405133S  122351121  99919942199912 22921 .48                              
10133111213137654212S  1432121222 132268321 2112 11611 .59                              
10134311213134094832U  112151121  12227642199913922621 .32                              
10135311213136085522U  113151211  232172821 6313922631 .37                              
10135911213134023121R  3 2351211  222173521 5211 22621 .51                              
10136311213138174835S  113391111  212164821 8411 22531 .76                              
10136611213139724834U  131232121  232265821 7412 22631 .39                              
10136911213133162023U  131221191  211143821 9415922331 .66                              
10137311213134172921S  3 2351211  232167821 3113122631 .43                              
10137611213133202721R  3 3121121  111146621 7413122431 .42                              
10137811213133191922U  121121111  132264321 4211 22511 .48                              
10138811213137314731S  139151121  132279221 2132 22611 .39                              
10139011213134172921R  131951121  132188121 3112 22611 .41                              
10139411213135042234S  121351911  231238321 3112 223112.45                              
1013951121313205 131R  3 2359211  132269614 2111 22633 .35                              
10139911214138121822S  3 3351211  232169421 6313122621 .44                              
10140411213135124831S  111231121  322123321 7434922111 .74                              
10140611213138151721R  1323512122 132174321 2112 11611 .63                              
10140911213136181723S  3 2351211  332256621 7413122531 .55                              
10141311213137155521R  3 3351211  211243621 8411 22331 .95                              
10142211213133142924U  121251121  232152322 1132 224121.21                              
10142311213138174835U  3 2351211  212169621 9411 22631 .58                              
10142911213139314731R  3 2151211  232179521 3111 22621 .50                              
10143211213136512723S  1212221121 211150521 42132124211.44                              
10143511215133182231S  3 9251211  312153421 6312 224211.15                              
10143911213134023121S  113951211  222270421 4211 22621 .55                              
10144211213133202722S  3 2121111  512132624 6313922234 .42                              
10144811213139041234U  121251221  132299522 3122 22922 .34                              
10145211213139364833S  3 2151211  111152821 9413122431 .40                              
10145311213133191922U  3 2151211  11229942199913122921 .32                              
10145911213134063041R  111351211  311151821 9411 22431 .87                              
1014621121513719 842U  3 2151211  212267621 6313122631 .32                              
10146911213134354941S  3 2151211  211137821 9431 22331 .71                              
1014771121313719 842U  121292121  211135521 6314222321 .86                              
10149211213132702131S  131151121  232268421 5212 22621 .55                              
10150711213135631921R  1213511122 132290321 3112 11611 .59                              
10151211213138121821R  129392991  23226062199912 22531 .46                              
10151311213134102432S  131222921  232263321 6312 22511 .76                              
10151611213135704212R  133222111  132265121 1111 22611 .40                              
10152011213138144212S  123359921  432266491 7433922621 .71                              
10152611213132182721S  111351121  212256421 6313922521 .80                              
10152811213132072312R  193351991  41125382199411 22431 .62                              
10153011213135082513S  111251121  122239821 5212 22331 .66                              
10153511213136033312R  121251191  312261621 7413222531 .58                              
1015481121313209 641R  3 23512121 332178521 6312 126211.29                              
1015521121313530 641S  3 2251211  332249521 4211 224211.26                              
